;0
Projektni tajnik;{'Available positions': np.float64(1.0), 'SKPvsESCO': np.float64(3.0), 'Languages': np.float64(2.0), 'Driving licence': np.float64(2.0), 'Age appropriateness': np.float64(2.0), 'Disability appropriateness': np.float64(2.0), 'SKP Wish': np.float64(2.0), 'BO wishes for contract type': np.float64(3.0), 'Job contract type': np.float64(1.0), 'BO career wishes': np.float64(3.0), 'Job career advancement': np.float64(3.0), 'Job working hours': np.float64(4.0), 'BO working hours wishes': np.float64(4.0), 'MSO Upravna Enota': np.float64(1.0), 'BO wish location': np.float64(2.0), 'Skills': array([3.]), 'Personal characteristics': array([3.]), 'Contract type': array([1.97211538]), 'Career advance': array([3.20131229]), 'Working hours': array([2.375]), 'Location': array([2.00839616]), 'Skill appropriateness': array([3.99340742]), 'Work type': array([3.28705287]), 'Job appropriateness': array([2.05311648]), 'SKP Evaluation': array([4.01509318])}
Prodajalec velenje;{'Available positions': np.float64(1.0), 'SKPvsESCO': np.float64(3.0), 'Languages': np.float64(1.0), 'Driving licence': np.float64(2.0), 'Age appropriateness': np.float64(2.0), 'Disability appropriateness': np.float64(2.0), 'SKP Wish': np.float64(2.0), 'BO wishes for contract type': np.float64(2.0), 'Job contract type': np.float64(2.0), 'BO career wishes': np.float64(2.0), 'Job career advancement': np.float64(3.0), 'Job working hours': np.float64(1.0), 'BO working hours wishes': np.float64(4.0), 'MSO Upravna Enota': np.float64(3.0), 'BO wish location': np.float64(2.0), 'Skills': array([2.]), 'Personal characteristics': array([3.]), 'Contract type': array([2.15480769]), 'Career advance': array([1.9793111]), 'Working hours': array([1.]), 'Location': array([3.17035698]), 'Skill appropriateness': array([1.98797096]), 'Work type': array([0.89734091]), 'Job appropriateness': array([1.09175471]), 'SKP Evaluation': array([1.00674588])}
barmen Mons;{'Available positions': np.float64(1.0), 'SKPvsESCO': np.float64(3.0), 'Languages': np.float64(2.0), 'Driving licence': np.float64(2.0), 'Age appropriateness': np.float64(2.0), 'Disability appropriateness': np.float64(2.0), 'SKP Wish': np.float64(2.0), 'BO wishes for contract type': np.float64(2.0), 'Job contract type': np.float64(2.0), 'BO career wishes': np.float64(3.0), 'Job career advancement': np.float64(2.0), 'Job working hours': np.float64(1.0), 'BO working hours wishes': np.float64(4.0), 'MSO Upravna Enota': np.float64(2.0), 'BO wish location': np.float64(2.0), 'Skills': array([3.]), 'Personal characteristics': array([3.]), 'Contract type': array([2.15480769]), 'Career advance': array([3.07921262]), 'Working hours': array([1.]), 'Location': array([2.25]), 'Skill appropriateness': array([3.99340742]), 'Work type': array([1.11955128]), 'Job appropriateness': array([1.00501698]), 'SKP Evaluation': array([1.22572592])}
barmen Coffee shop;{'Available positions': np.float64(3.0), 'SKPvsESCO': np.float64(2.0), 'Languages': np.float64(1.0), 'Driving licence': np.float64(2.0), 'Age appropriateness': np.float64(2.0), 'Disability appropriateness': np.float64(2.0), 'SKP Wish': np.float64(2.0), 'BO wishes for contract type': np.float64(2.0), 'Job contract type': np.float64(2.0), 'BO career wishes': np.float64(3.0), 'Job career advancement': np.float64(2.0), 'Job working hours': np.float64(1.0), 'BO working hours wishes': np.float64(4.0), 'MSO Upravna Enota': np.float64(2.0), 'BO wish location': np.float64(2.0), 'Skills': array([2.]), 'Personal characteristics': array([3.]), 'Contract type': array([2.15480769]), 'Career advance': array([3.07921262]), 'Working hours': array([1.]), 'Location': array([2.25]), 'Skill appropriateness': array([4.00659258]), 'Work type': array([1.11955128]), 'Job appropriateness': array([1.00501698]), 'SKP Evaluation': array([1.22722742])}
barmen Union;{'Available positions': np.float64(2.0), 'SKPvsESCO': np.float64(3.0), 'Languages': np.float64(2.0), 'Driving licence': np.float64(2.0), 'Age appropriateness': np.float64(2.0), 'Disability appropriateness': np.float64(2.0), 'SKP Wish': np.float64(2.0), 'BO wishes for contract type': np.float64(3.0), 'Job contract type': np.float64(2.0), 'BO career wishes': np.float64(2.0), 'Job career advancement': np.float64(2.0), 'Job working hours': np.float64(1.0), 'BO working hours wishes': np.float64(4.0), 'MSO Upravna Enota': np.float64(3.0), 'BO wish location': np.float64(2.0), 'Skills': array([3.]), 'Personal characteristics': array([3.]), 'Contract type': array([2.28173077]), 'Career advance': array([2.92078738]), 'Working hours': array([1.]), 'Location': array([3.17035698]), 'Skill appropriateness': array([4.14003175]), 'Work type': array([1.08754502]), 'Job appropriateness': array([1.13154044]), 'SKP Evaluation': array([1.25612899])}
barmen Test;{'Available positions': np.float64(3.0), 'SKPvsESCO': np.float64(2.0), 'Languages': np.float64(2.0), 'Driving licence': np.float64(2.0), 'Age appropriateness': np.float64(2.0), 'Disability appropriateness': np.float64(2.0), 'SKP Wish': np.float64(2.0), 'BO wishes for contract type': np.float64(2.0), 'Job contract type': np.float64(2.0), 'BO career wishes': np.float64(2.0), 'Job career advancement': np.float64(2.0), 'Job working hours': np.float64(1.0), 'BO working hours wishes': np.float64(4.0), 'MSO Upravna Enota': np.float64(3.0), 'BO wish location': np.float64(2.0), 'Skills': array([3.]), 'Personal characteristics': array([3.]), 'Contract type': array([2.15480769]), 'Career advance': array([2.92078738]), 'Working hours': array([1.]), 'Location': array([3.17035698]), 'Skill appropriateness': array([4.15512587]), 'Work type': array([1.08754502]), 'Job appropriateness': array([1.11538567]), 'SKP Evaluation': array([1.25609791])}
barmen in a bar;{'Available positions': np.float64(2.0), 'SKPvsESCO': np.float64(2.0), 'Languages': np.float64(1.0), 'Driving licence': np.float64(2.0), 'Age appropriateness': np.float64(2.0), 'Disability appropriateness': np.float64(2.0), 'SKP Wish': np.float64(1.0), 'BO wishes for contract type': np.float64(2.0), 'Job contract type': np.float64(2.0), 'BO career wishes': np.float64(3.0), 'Job career advancement': np.float64(2.0), 'Job working hours': np.float64(1.0), 'BO working hours wishes': np.float64(4.0), 'MSO Upravna Enota': np.float64(2.0), 'BO wish location': np.float64(2.0), 'Skills': array([2.]), 'Personal characteristics': array([2.]), 'Contract type': array([2.15480769]), 'Career advance': array([3.07921262]), 'Working hours': array([1.]), 'Location': array([2.25]), 'Skill appropriateness': array([2.86118772]), 'Work type': array([1.11955128]), 'Job appropriateness': array([1.00501698]), 'SKP Evaluation': array([0.98751216])}
barmen tea shop;{'Available positions': np.float64(1.0), 'SKPvsESCO': np.float64(2.0), 'Languages': np.float64(1.0), 'Driving licence': np.float64(2.0), 'Age appropriateness': np.float64(2.0), 'Disability appropriateness': np.float64(2.0), 'SKP Wish': np.float64(1.0), 'BO wishes for contract type': np.float64(2.0), 'Job contract type': np.float64(2.0), 'BO career wishes': np.float64(3.0), 'Job career advancement': np.float64(2.0), 'Job working hours': np.float64(4.0), 'BO working hours wishes': np.float64(4.0), 'MSO Upravna Enota': np.float64(2.0), 'BO wish location': np.float64(2.0), 'Skills': array([2.]), 'Personal characteristics': array([2.]), 'Contract type': array([2.15480769]), 'Career advance': array([3.07921262]), 'Working hours': array([2.375]), 'Location': array([2.25]), 'Skill appropriateness': array([1.8018656]), 'Work type': array([3.22522744]), 'Job appropriateness': array([2.12614728]), 'SKP Evaluation': array([0.98832533])}
school cook;{'Available positions': np.float64(1.0), 'SKPvsESCO': np.float64(1.0), 'Languages': np.float64(2.0), 'Driving licence': np.float64(2.0), 'Age appropriateness': np.float64(2.0), 'Disability appropriateness': np.float64(2.0), 'SKP Wish': np.float64(2.0), 'BO wishes for contract type': np.float64(2.0), 'Job contract type': np.float64(2.0), 'BO career wishes': np.float64(4.0), 'Job career advancement': np.float64(3.0), 'Job working hours': np.float64(4.0), 'BO working hours wishes': np.float64(4.0), 'MSO Upravna Enota': np.float64(3.0), 'BO wish location': np.float64(2.0), 'Skills': array([3.]), 'Personal characteristics': array([3.]), 'Contract type': array([2.15480769]), 'Career advance': array([3.35973754]), 'Working hours': array([2.375]), 'Location': array([3.17035698]), 'Skill appropriateness': array([0.89873842]), 'Work type': array([3.36727182]), 'Job appropriateness': array([2.33759279]), 'SKP Evaluation': array([1.01766195])}
cook in a resturant;{'Available positions': np.float64(2.0), 'SKPvsESCO': np.float64(1.0), 'Languages': np.float64(2.0), 'Driving licence': np.float64(2.0), 'Age appropriateness': np.float64(2.0), 'Disability appropriateness': np.float64(2.0), 'SKP Wish': np.float64(2.0), 'BO wishes for contract type': np.float64(2.0), 'Job contract type': np.float64(2.0), 'BO career wishes': np.float64(4.0), 'Job career advancement': np.float64(3.0), 'Job working hours': np.float64(1.0), 'BO working hours wishes': np.float64(4.0), 'MSO Upravna Enota': np.float64(2.0), 'BO wish location': np.float64(2.0), 'Skills': array([3.]), 'Personal characteristics': array([3.]), 'Contract type': array([2.15480769]), 'Career advance': array([3.35973754]), 'Working hours': array([1.]), 'Location': array([2.25]), 'Skill appropriateness': array([1.013283]), 'Work type': array([1.17622504]), 'Job appropriateness': array([1.01205813]), 'SKP Evaluation': array([0.88711677])}
